Employee Name,Job Position,Company,Interview quote,Date,Tags
Aviv Ben-Yosef, Tech Executive Consultant,,"“I want to set up managers to succeed, no matter how much background they’ve already got.”","August 16, 2021","['#coaching', '#consulting']"
Anand Safi, Engineering Manager , Mark43,"“I very well understand where my interests lie, which is being an enabler first and then a creator rather than being a creator/ maker 100%.”","July 19, 2021","['#coaching', '#frontend', '#full-stack', '#public-safety']"
Shawn Axsom, Senior Engineering Manager , Docker,"“Your focus (and challenges) grows from your direct reports, to teams, to departments, executives, and then external customers and partnerships.”","July 05, 2021","['#backend', '#coaching', '#information-systems', '#web']"
Kevin Doyle, CTO , p,"“If I can provide enough direction to allow people to focus on the jobs they’ll do better than I ever could, everybody wins.”","June 21, 2021","['#full-stack', '#health-tech']"
Arnab Sen, Technical Delivery Manager , AKQA,"“The switch to management can be highly rewarding and provide a level of independence, authority, and interactivity that a pure software engineering role may not offer.”","May 10, 2021","['#consulting', '#digital-marketing', '#e-commerce', '#product']"
Nicholas Cobb, Senior Manager of Software Engineering , Aurora Innov,"“Realizing that life as a manager will have its ups and downs has helped me come to terms with navigating organizational uncertainty, team change, being supportive and addressing social injustice issues, and other challenges.”","April 26, 2021","['#autonomous-driving', '#devops', '#ios', '#self-taught']"
Christoph Eicke, Team Lead , Xing GmbH,"“Sometimes it's better not to know the details of the tech in order to ask the simple but effective questions to move a project forward, let alone move someone else's career forward.”","April 12, 2021","['#full-stack', '#linux', '#self-taught', '#web']"
Sam Phillips, Co-founder & CTO , Residently,"“I think leadership and management are roles that have enormous potential to do a lot of good in the world - to create the inclusive, productive environments we need to build great products - and so it's worth doing well.”","March 29, 2021","['#coaching', '#devops', '#self-taught', '#startup', '#web']"
Dan Lines, Co-founder & COO , LinearB,"“Some sound advice I received is that if your people are doing well, then you're doing well. If your people are thriving, then you're doing a good job.”","March 15, 2021","['#cybersecurity', '#entrepreneurship', '#startup']"
Duncan Skelton, Executive Coach , Duncan Skelton Coaching,"“If you get the job, or are new to the role, the organisation already believes in you. Step into the role and own it. Only you can show up as your most brilliant self.”","March 01, 2021","['#coaching', '#enterprise', '#hardware', '#systems-programming', '#telecommunications']"
James Bedford, Engineering Manager , Attest,"“So many wait to be given permission to lead, however there is nothing stopping you from learning good management practices no matter what seniority level you are at.”","February 15, 2021","['#consumer-research', '#fintech', '#frontend', '#web']"
Monica Lent, Founder , Blogging for Devs,"“You have to have the big picture in mind. And that often requires sacrificing things you feel are important, for things that are more important in the grand scheme of things.”","February 01, 2021","['#fintech', '#frontend', '#self-taught']"
Andrew Heffernan, Director of Engineering , Validity Inc,"“I was definitely drinking from the firehose, but I would not trade this experience for anything.”","January 18, 2021","['#cloud', '#self-taught', '#web']"
Abhishek Karmakar, Senior Engineering Manager , Target Corpor,"“Understanding people, their personalities, leadership quirks and management skills really helped me navigate the web of work that has presented itself in this new role.”","November 30, 2020","['#android', '#cloud', '#distributed-systems', '#mobile']"
Greg Thomas, Founder , BetaRover Inc,"“I’ve said a few times to the team that they are the first priority, before we release anything. As such, if they need me, we drop everything else.”","November 16, 2020","['#cloud', '#enterprise', '#infrastructure', '#self-taught']"
Siddharth Rao, Staff Software Engineer & Tech Lead , Twitter,“It is quite important that every engineer set goals and challenges for themselves that push them beyond what the current or even the next ladder step requires of them.”,"November 02, 2020","['#adtech', '#mentorship']"
Marc Littlemore, Team Lead , BBC,“You have to realise that your value comes from building and shaping a high-performing team who work well together and have a clear direction.”,"October 19, 2020","['#game-development', '#remote', '#web']"
Senthil Arivudainambi, VP of Engineering and Product , Walker & Company,"“What made you successful in your current role won’t necessarily be the same characteristics that the new position requires. In some areas, you will be starting from square 1, and you will make mistakes.”","October 05, 2020","['#distributed-teams', '#health-tech']"
Karthik Kotha, Engineering Manager , Kroger,"“I have learned to track my impact in other ways, by the number of meaningful 1:1s, the number of blockers removed for my teams, and active participation in meetings.”","September 21, 2020","['#e-commerce', '#frontend', '#startup']"
Markus Thurner, Engineering Lead , Cimpress,“The transition to becoming an engineering lead has definitely made me get better at being able to phrase abstract thoughts into something that creates clarity for the team.”,"September 07, 2020","['#data-platform', '#distributed-teams', '#media']"
Dhimil Gosalia, Director of Engineering , BrowserStack,“What I enjoy the most is solving problems. I enable my team to work in isolation but am always happy to learn about their problem solving stories.”,"August 24, 2020","['#infrastructure', '#mobile', '#network-engineering', '#startup']"
Daniel Millington, Engineering Manager , Samsara,"“When I’m able to see engineers on my teams tackling larger and larger projects, addressing technical debt before it cripples us, and generally working well together with each other - this is what excites me about the work I do.”","August 10, 2020","['#embedded-systems', '#infrastructure', '#internet-of-things']"
Dhruv Agarwal, Engineering Manager , Shuttl,“Always think about the larger picture and not just the sprint at hand. Always question the rationale behind everything you or your team does in the context of the larger goal.”,"July 27, 2020","['#product', '#web']"
Swaathi Kakarla, Co-founder & CTO , Skcript,"“People management is not like giving instructions to a program, it’s more like training an AI model! It takes time and effort, you can’t judge on the first go.”","July 13, 2020","['#elixir', '#product', '#ruby-on-rails', '#web']"
Mark Shropshire, Senior Director of Development , Mediacurrent,"“You can lead in your current role. No need to wait for a title with “manager” in it. Practice active listening, mentoring, delegation, and receiving/providing direct feedback.”","June 29, 2020","['#mentorship', '#open-source']"
